Format,2.0E,
Memory Length,100000,
IntpDistance,0,
Trigger Address,0,
Trigger Level,8.000E-03,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,5.000E+00,
Vertical Position,0.000E+00,
Horizontal Units,S,
Horizontal Scale,5.000E-01,
Horizontal Position,0.000E+00,
Horizontal Mode,Roll Mode,
Display Last Dot Address,100000,
Waveform Last Dot Address,0,
SincET Mode,Real Time,
Sampling Period,5.000E-05,
Horizontal Old Scale,5.000E-01,
Horizontal Old Position,0.000E+00,
Firmware,V1.26,
Time,14-May-18 14:57:40,
Mode,Detail,
Waveform Data,
-2.469050e+00,-3.00e+00,
-2.469000e+00,-3.00e+00,
-2.468950e+00,-3.00e+00,
-2.468900e+00,-3.20e+00,
-2.468850e+00,-3.40e+00,
-2.468800e+00,-3.40e+00,
-2.468750e+00,-3.40e+00,
-2.468700e+00,-3.40e+00,
-2.468650e+00,-3.60e+00,
-2.468600e+00,-3.60e+00,
-2.468550e+00,-3.80e+00,
-2.468500e+00,-3.80e+00,
-2.468450e+00,-3.80e+00,
-2.468400e+00,-3.80e+00,
-2.468350e+00,-3.80e+00,
-2.468300e+00,-4.00e+00,
-2.468250e+00,-3.80e+00,
-2.468200e+00,-3.80e+00,
-2.468150e+00,-3.80e+00,
-2.468100e+00,-3.80e+00,
-2.468050e+00,-3.60e+00,
-2.468000e+00,-3.80e+00,
-2.467950e+00,-3.80e+00,
-2.467900e+00,-3.80e+00,
-2.467850e+00,-3.60e+00,
-2.467800e+00,-3.60e+00,
-2.467750e+00,-3.60e+00,
-2.467700e+00,-3.60e+00,
-2.467650e+00,-3.40e+00,
-2.467600e+00,-3.40e+00,
-2.467550e+00,-3.20e+00,
-2.467500e+00,-3.20e+00,
-2.467450e+00,-3.00e+00,
-2.467400e+00,-3.00e+00,
-2.467350e+00,-3.00e+00,
-2.467300e+00,-2.80e+00,
-2.467250e+00,-2.80e+00,
-2.467200e+00,-2.60e+00,
-2.467150e+00,-2.60e+00,
-2.467100e+00,-2.40e+00,
-2.467050e+00,-2.40e+00,
-2.467000e+00,-2.00e+00,
-2.466950e+00,-2.00e+00,
-2.466900e+00,-1.80e+00,
-2.466850e+00,-1.60e+00,
-2.466800e+00,-1.60e+00,
-2.466750e+00,-1.40e+00,
-2.466700e+00,-1.20e+00,
-2.466650e+00,-1.20e+00,
-2.466600e+00,-1.00e+00,
-2.466550e+00,-8.00e-01,
-2.466500e+00,-8.00e-01,
-2.466450e+00,-6.00e-01,
-2.466400e+00,-4.00e-01,
-2.466350e+00,-2.00e-01,
-2.466300e+00,0.00e+00,
-2.466250e+00,0.00e+00,
-2.466200e+00,4.00e-01,
-2.466150e+00,6.00e-01,
-2.466100e+00,6.00e-01,
-2.466050e+00,8.00e-01,
-2.466000e+00,1.00e+00,
-2.465950e+00,1.20e+00,
-2.465900e+00,1.40e+00,
-2.465850e+00,1.40e+00,
-2.465800e+00,1.40e+00,
-2.465750e+00,1.80e+00,
-2.465700e+00,2.00e+00,
-2.465650e+00,2.00e+00,
-2.465600e+00,2.20e+00,
-2.465550e+00,2.40e+00,
-2.465500e+00,2.40e+00,
-2.465450e+00,2.60e+00,
-2.465400e+00,2.80e+00,
-2.465350e+00,2.80e+00,
-2.465300e+00,3.00e+00,
-2.465250e+00,3.20e+00,
-2.465200e+00,3.40e+00,
-2.465150e+00,3.40e+00,
-2.465100e+00,3.60e+00,
-2.465050e+00,3.60e+00,
-2.465000e+00,3.80e+00,
-2.464950e+00,3.80e+00,
-2.464900e+00,3.80e+00,
-2.464850e+00,4.00e+00,
-2.464800e+00,4.00e+00,
-2.464750e+00,4.20e+00,
-2.464700e+00,4.40e+00,
-2.464650e+00,4.40e+00,
-2.464600e+00,4.40e+00,
-2.464550e+00,4.60e+00,
-2.464500e+00,4.60e+00,
-2.464450e+00,4.80e+00,
-2.464400e+00,4.60e+00,
-2.464350e+00,4.60e+00,
-2.464300e+00,4.80e+00,
-2.464250e+00,4.80e+00,
-2.464200e+00,4.80e+00,
-2.464150e+00,4.80e+00,
-2.464100e+00,4.80e+00,
-2.464050e+00,4.80e+00,
